,customer_id,product_id,purchase_date,page_views,time_spent,category,price,ratings,total_page_views,average_time_spent,total_purchases,recency_of_purchase,average_rating_purchased,average_price_purchased,purchase_month
40,89,105,2023-03-10 00:00:00,16,137,Electronics,800,4.8,176,137.0,7,292,4.245454545454546,635.8181818181819,3
41,50,110,2023-11-12 00:00:00,18,101,Toys,29,3.5,162,101.0,6,45,3.8000000000000003,336.6666666666667,11
42,30,102,2023-02-02 00:00:00,23,103,Clothing,50,3.8,299,103.0,10,328,3.930769230769231,395.38461538461536,2
43,20,106,2023-10-21 00:00:00,21,99,Automotive,855,4.2,210,99.0,8,67,3.97,505.6,10
44,20,110,2023-06-21 00:00:00,21,99,Toys,29,3.5,210,99.0,8,189,3.97,505.6,6
45,15,105,2023-05-06 00:00:00,18,90,Electronics,800,4.8,90,90.0,5,235,4.14,568.0,5
46,40,106,2023-11-13 00:00:00,18,131,Automotive,855,4.2,216,131.0,7,44,4.166666666666667,462.8333333333333,11
47,33,108,2023-02-15 00:00:00,24,118,Sports,727,3.6,264,118.0,7,315,3.7818181818181817,409.09090909090907,2
48,66,105,2023-10-13 00:00:00,18,92,Electronics,800,4.8,198,92.0,7,75,4.209090909090909,472.8181818181818,10
49,10,105,2023-09-08 00:00:00,18,147,Electronics,800,4.8,180,147.0,6,110,3.9799999999999995,519.7,9
50,58,103,2023-06-05 00:00:00,24,85,Home & Kitchen,200,4.2,216,85.0,5,205,3.8333333333333335,443.44444444444446,6
51,33,103,2023-08-20 00:00:00,24,118,Home & Kitchen,200,4.2,264,118.0,7,129,3.7818181818181817,409.09090909090907,8
52,32,102,2023-10-11 00:00:00,20,85,Clothing,50,3.8,140,85.0,5,77,3.914285714285714,508.57142857142856,10
53,75,104,2023-01-30 00:00:00,19,92,Beauty,30,4.0,152,92.0,5,331,4.0,440.625,1
54,24,101,2023-05-07 00:00:00,25,123,Electronics,500,4.5,250,123.0,6,234,4.13,470.0,5
55,36,102,2023-03-14 00:00:00,24,86,Clothing,50,3.8,336,86.0,7,288,3.935714285714286,435.7857142857143,3
56,76,110,2023-03-17 00:00:00,20,87,Toys,29,3.5,160,87.0,7,285,4.0625,403.25,3
57,56,102,2023-04-08 00:00:00,15,106,Clothing,50,3.8,75,106.0,4,263,4.18,341.8,4
58,29,107,2023-07-26 00:00:00,29,113,Books,783,3.8,261,113.0,7,154,3.7333333333333334,508.77777777777777,7
59,35,110,2023-02-08 00:00:00,23,90,Toys,29,3.5,230,90.0,6,322,3.8,256.4,2
60,1,109,2023-09-25 00:00:00,25,120,Music,379,3.1,500,120.0,9,93,4.04,471.7,9
61,1,107,2023-09-04 00:00:00,25,120,Books,783,3.8,500,120.0,9,114,4.04,471.7,9
62,37,104,2023-12-12 00:00:00,19,86,Beauty,30,4.0,266,86.0,8,15,4.071428571428571,504.85714285714283,12
63,54,101,2023-02-02 00:00:00,29,128,Electronics,500,4.5,406,128.0,7,328,4.171428571428572,385.42857142857144,2
64,6,108,2023-06-28 00:00:00,27,119,Sports,727,3.6,324,119.0,5,182,3.8166666666666664,272.75,6
65,39,104,2023-02-10 00:00:00,15,130,Beauty,30,4.0,120,130.0,6,320,3.95,543.375,2
66,18,103,2023-07-18 00:00:00,19,137,Home & Kitchen,200,4.2,133,137.0,5,162,4.214285714285714,390.42857142857144,7
67,80,106,2023-10-14 00:00:00,19,83,Automotive,855,4.2,285,83.0,7,74,4.133333333333334,347.4,10
68,5,110,2023-05-31 00:00:00,22,110,Toys,29,3.5,242,110.0,6,210,4.109090909090909,559.7272727272727,5
69,43,108,2023-05-04 00:00:00,30,89,Sports,727,3.6,240,89.0,6,237,3.925,452.0,5
70,59,104,2023-03-17 00:00:00,24,95,Beauty,30,4.0,312,95.0,8,285,3.9538461538461536,431.38461538461536,3
71,32,105,2023-10-19 00:00:00,20,85,Electronics,800,4.8,140,85.0,5,69,3.914285714285714,508.57142857142856,10
72,2,108,2023-03-05 00:00:00,20,90,Sports,727,3.6,160,90.0,5,297,3.9375,404.625,3
73,66,107,2023-09-18 00:00:00,18,92,Books,783,3.8,198,92.0,7,100,4.209090909090909,472.8181818181818,9
74,42,108,2023-06-27 00:00:00,29,109,Sports,727,3.6,290,109.0,7,183,4.21,531.6,6
75,58,104,2023-06-07 00:00:00,24,85,Beauty,30,4.0,216,85.0,5,203,3.8333333333333335,443.44444444444446,6
76,36,107,2023-07-11 00:00:00,24,86,Books,783,3.8,336,86.0,7,169,3.935714285714286,435.7857142857143,7
77,12,110,2023-11-14 00:00:00,18,125,Toys,29,3.5,162,125.0,6,43,3.6555555555555554,258.55555555555554,11
78,47,104,2023-04-02 00:00:00,18,123,Beauty,30,4.0,234,123.0,8,269,3.8307692307692305,379.61538461538464,4
79,83,108,2023-04-22 00:00:00,19,96,Sports,727,3.6,171,96.0,6,249,3.9555555555555557,471.55555555555554,4
80,92,102,2023-07-31 00:00:00,24,113,Clothing,50,3.8,360,113.0,8,149,3.9266666666666667,363.73333333333335,7
81,1,104,2023-12-27 00:00:00,25,120,Beauty,30,4.0,500,120.0,9,0,4.04,471.7,12
82,15,108,2023-04-01 00:00:00,18,90,Sports,727,3.6,90,90.0,5,270,4.14,568.0,4
83,100,109,2023-01-27 00:00:00,26,107,Music,379,3.1,286,107.0,6,334,3.9545454545454546,391.09090909090907,1
84,54,109,2023-03-15 00:00:00,29,128,Music,379,3.1,406,128.0,7,287,4.171428571428572,385.42857142857144,3
85,13,105,2023-08-12 00:00:00,22,134,Electronics,800,4.8,264,134.0,7,137,4.083333333333333,430.1666666666667,8
86,43,106,2023-12-17 00:00:00,30,89,Automotive,855,4.2,240,89.0,6,10,3.925,452.0,12
87,85,104,2023-10-01 00:00:00,25,142,Beauty,30,4.0,200,142.0,6,87,4.0125,562.75,10
88,76,107,2023-07-19 00:00:00,20,87,Books,783,3.8,160,87.0,7,161,4.0625,403.25,7
89,69,110,2023-11-09 00:00:00,17,102,Toys,29,3.5,119,102.0,6,48,3.7142857142857144,209.28571428571428,11
90,7,107,2023-10-19 00:00:00,30,108,Books,783,3.8,330,108.0,6,69,3.7545454545454544,374.1818181818182,10
91,69,103,2023-07-21 00:00:00,17,102,Home & Kitchen,200,4.2,119,102.0,6,159,3.7142857142857144,209.28571428571428,7
92,48,110,2023-08-09 00:00:00,23,142,Toys,29,3.5,184,142.0,8,140,3.775,381.625,8
93,4,104,2023-10-31 00:00:00,15,80,Beauty,30,4.0,240,80.0,6,57,4.04375,282.125,10
94,77,106,2023-02-18 00:00:00,20,132,Automotive,855,4.2,200,132.0,5,312,4.08,464.2,2
95,53,108,2023-04-28 00:00:00,18,86,Sports,727,3.6,108,86.0,4,243,3.6833333333333336,580.8333333333334,4
96,79,110,2023-03-09 00:00:00,23,80,Toys,29,3.5,184,80.0,7,293,3.8875,261.625,3
97,16,101,2023-05-04 00:00:00,20,147,Electronics,500,4.5,80,147.0,4,237,4.0,541.75,5
98,21,108,2023-07-19 00:00:00,23,114,Sports,727,3.6,345,114.0,8,161,4.073333333333333,369.46666666666664,7
99,100,102,2023-11-15 00:00:00,26,107,Clothing,50,3.8,286,107.0,6,42,3.9545454545454546,391.09090909090907,11
100,59,103,2023-10-21 00:00:00,24,95,Home & Kitchen,200,4.2,312,95.0,8,67,3.9538461538461536,431.38461538461536,10
101,24,106,2023-01-06 00:00:00,25,123,Automotive,855,4.2,250,123.0,6,355,4.13,470.0,1
102,80,101,2023-04-08 00:00:00,19,83,Electronics,500,4.5,285,83.0,7,263,4.133333333333334,347.4,4
103,14,106,2023-02-25 00:00:00,24,80,Automotive,855,4.2,240,80.0,6,305,3.9899999999999998,423.2,2
104,86,109,2023-02-08 00:00:00,25,136,Music,379,3.1,175,136.0,6,322,3.685714285714286,421.57142857142856,2
105,49,110,2023-02-19 00:00:00,16,127,Toys,29,3.5,160,127.0,8,311,3.9799999999999995,476.7,2
106,50,109,2023-09-22 00:00:00,18,101,Music,379,3.1,162,101.0,6,96,3.8000000000000003,336.6666666666667,9
107,70,103,2023-05-03 00:00:00,22,99,Home & Kitchen,200,4.2,330,99.0,8,238,3.9466666666666668,341.06666666666666,5
108,42,106,2023-07-13 00:00:00,29,109,Automotive,855,4.2,290,109.0,7,167,4.21,531.6,7
109,36,104,2023-11-19 00:00:00,24,86,Beauty,30,4.0,336,86.0,7,38,3.935714285714286,435.7857142857143,11
110,65,102,2023-03-04 00:00:00,22,90,Clothing,50,3.8,154,90.0,4,298,3.5714285714285716,554.8571428571429,3
111,96,108,2023-01-17 00:00:00,22,103,Sports,727,3.6,110,103.0,4,344,4.1,556.8,1
112,70,104,2023-07-09 00:00:00,22,99,Beauty,30,4.0,330,99.0,8,171,3.9466666666666668,341.06666666666666,7
113,95,109,2023-07-14 00:00:00,21,142,Music,379,3.1,273,142.0,7,166,3.9076923076923076,393.38461538461536,7
114,1,106,2023-09-25 00:00:00,25,120,Automotive,855,4.2,500,120.0,9,93,4.04,471.7,9
115,51,106,2023-01-21 00:00:00,28,98,Automotive,855,4.2,224,98.0,6,340,4.0875,447.75,1
116,37,102,2023-04-11 00:00:00,19,86,Clothing,50,3.8,266,86.0,8,260,4.071428571428571,504.85714285714283,4
117,35,110,2023-09-28 00:00:00,23,90,Toys,29,3.5,230,90.0,6,90,3.8,256.4,9
118,49,108,2023-05-01 00:00:00,16,127,Sports,727,3.6,160,127.0,8,240,3.9799999999999995,476.7,5
119,94,103,2023-02-22 00:00:00,18,96,Home & Kitchen,200,4.2,180,96.0,4,308,4.15,217.9,2
120,4,102,2023-06-07 00:00:00,15,80,Clothing,50,3.8,240,80.0,6,203,4.04375,282.125,6
121,99,101,2023-09-28 00:00:00,17,110,Electronics,500,4.5,153,110.0,5,90,4.1,499.22222222222223,9
122,43,102,2023-04-25 00:00:00,30,89,Clothing,50,3.8,240,89.0,6,246,3.925,452.0,4
123,78,101,2023-08-27 00:00:00,21,109,Electronics,500,4.5,126,109.0,4,122,4.383333333333334,502.5,8
124,22,102,2023-11-04 00:00:00,23,130,Clothing,50,3.8,184,130.0,5,53,3.9,237.5,11
125,74,102,2023-02-02 00:00:00,15,106,Clothing,50,3.8,165,106.0,9,328,3.8363636363636364,357.0,2
126,1,107,2023-09-07 00:00:00,25,120,Books,783,3.8,500,120.0,9,111,4.04,471.7,9
127,11,109,2023-12-14 00:00:00,26,124,Music,379,3.1,312,124.0,5,13,3.7916666666666665,405.0,12
128,44,109,2023-09-20 00:00:00,30,85,Music,379,3.1,390,85.0,8,98,3.8153846153846156,412.15384615384613,9
129,59,104,2023-07-21 00:00:00,24,95,Beauty,30,4.0,312,95.0,8,159,3.9538461538461536,431.38461538461536,7
130,24,103,2023-05-01 00:00:00,25,123,Home & Kitchen,200,4.2,250,123.0,6,240,4.13,470.0,5
131,60,101,2023-03-07 00:00:00,30,143,Electronics,500,4.5,210,143.0,6,295,4.042857142857143,426.57142857142856,3
132,3,108,2023-03-17 00:00:00,30,150,Sports,727,3.6,240,150.0,5,285,3.7125,496.25,3
133,99,105,2023-12-10 00:00:00,17,110,Electronics,800,4.8,153,110.0,5,17,4.1,499.22222222222223,12
134,63,107,2023-07-18 00:00:00,25,112,Books,783,3.8,225,112.0,6,162,3.711111111111111,411.77777777777777,7
135,36,101,2023-10-24 00:00:00,24,86,Electronics,500,4.5,336,86.0,7,64,3.935714285714286,435.7857142857143,10
136,95,106,2023-07-08 00:00:00,21,142,Automotive,855,4.2,273,142.0,7,172,3.9076923076923076,393.38461538461536,7
137,68,104,2023-02-06 00:00:00,26,109,Beauty,30,4.0,416,109.0,9,324,3.975,538.4375,2
138,83,104,2023-03-04 00:00:00,19,96,Beauty,30,4.0,171,96.0,6,298,3.9555555555555557,471.55555555555554,3
139,47,110,2023-11-15 00:00:00,18,123,Toys,29,3.5,234,123.0,8,42,3.8307692307692305,379.61538461538464,11
140,100,105,2023-03-18 00:00:00,26,107,Electronics,800,4.8,286,107.0,6,284,3.9545454545454546,391.09090909090907,3
141,21,110,2023-01-19 00:00:00,23,114,Toys,29,3.5,345,114.0,8,342,4.073333333333333,369.46666666666664,1
142,82,101,2023-01-02 00:00:00,30,147,Electronics,500,4.5,360,147.0,7,359,4.133333333333334,501.75,1
143,51,107,2023-08-01 00:00:00,28,98,Books,783,3.8,224,98.0,6,148,4.0875,447.75,8
144,28,106,2023-07-25 00:00:00,22,95,Automotive,855,4.2,132,95.0,4,155,3.8333333333333335,248.66666666666666,7
145,15,104,2023-04-01 00:00:00,18,90,Beauty,30,4.0,90,90.0,5,270,4.14,568.0,4
146,42,101,2023-04-23 00:00:00,29,109,Electronics,500,4.5,290,109.0,7,248,4.21,531.6,4
147,59,101,2023-04-18 00:00:00,24,95,Electronics,500,4.5,312,95.0,8,253,3.9538461538461536,431.38461538461536,4
148,66,102,2023-05-30 00:00:00,18,92,Clothing,50,3.8,198,92.0,7,211,4.209090909090909,472.8181818181818,5
149,37,103,2023-03-20 00:00:00,19,86,Home & Kitchen,200,4.2,266,86.0,8,282,4.071428571428571,504.85714285714283,3
150,11,101,2023-09-27 00:00:00,26,124,Electronics,500,4.5,312,124.0,5,91,3.7916666666666665,405.0,9
151,87,103,2023-03-09 00:00:00,30,128,Home & Kitchen,200,4.2,240,128.0,6,293,4.3125,511.25,3
152,44,103,2023-12-28 00:00:00,30,85,Home & Kitchen,200,4.2,390,85.0,8,-1,3.8153846153846156,412.15384615384613,12
153,12,110,2023-09-19 00:00:00,18,125,Toys,29,3.5,162,125.0,6,99,3.6555555555555554,258.55555555555554,9
154,3,107,2023-01-27 00:00:00,30,150,Books,783,3.8,240,150.0,5,334,3.7125,496.25,1
155,52,108,2023-07-11 00:00:00,18,93,Sports,727,3.6,216,93.0,6,169,3.891666666666667,389.3333333333333,7
156,81,109,2023-08-26 00:00:00,16,141,Music,379,3.1,240,141.0,9,123,3.966666666666667,396.1333333333333,8
157,33,110,2023-01-14 00:00:00,24,118,Toys,29,3.5,264,118.0,7,347,3.7818181818181817,409.09090909090907,1
158,55,109,2023-10-29 00:00:00,22,120,Music,379,3.1,220,120.0,7,59,3.8299999999999996,448.1,10
159,1,103,2023-02-26 00:00:00,25,120,Home & Kitchen,200,4.2,500,120.0,9,304,4.04,471.7,2
160,39,105,2023-02-28 00:00:00,15,130,Electronics,800,4.8,120,130.0,6,302,3.95,543.375,2
161,20,108,2023-01-18 00:00:00,21,99,Sports,727,3.6,210,99.0,8,343,3.97,505.6,1
162,47,108,2023-08-03 00:00:00,18,123,Sports,727,3.6,234,123.0,8,146,3.8307692307692305,379.61538461538464,8
163,43,106,2023-12-18 00:00:00,30,89,Automotive,855,4.2,240,89.0,6,9,3.925,452.0,12
164,57,108,2023-08-09 00:00:00,16,110,Sports,727,3.6,128,110.0,7,140,3.7625,506.25,8
165,61,103,2023-07-25 00:00:00,15,117,Home & Kitchen,200,4.2,135,117.0,6,155,3.7666666666666666,416.1111111111111,7
166,78,105,2023-10-10 00:00:00,21,109,Electronics,800,4.8,126,109.0,4,78,4.383333333333334,502.5,10
167,31,102,2023-10-01 00:00:00,16,92,Clothing,50,3.8,192,92.0,6,87,4.016666666666667,312.9166666666667,10
168,25,102,2023-07-16 00:00:00,16,80,Clothing,50,3.8,176,80.0,7,164,3.8818181818181823,315.8181818181818,7
169,3,102,2023-02-13 00:00:00,30,150,Clothing,50,3.8,240,150.0,5,317,3.7125,496.25,2
170,4,108,2023-08-11 00:00:00,15,80,Sports,727,3.6,240,80.0,6,138,4.04375,282.125,8
171,95,110,2023-05-06 00:00:00,21,142,Toys,29,3.5,273,142.0,7,235,3.9076923076923076,393.38461538461536,5
172,99,101,2023-12-15 00:00:00,17,110,Electronics,500,4.5,153,110.0,5,12,4.1,499.22222222222223,12
173,14,110,2023-11-25 00:00:00,24,80,Toys,29,3.5,240,80.0,6,32,3.9899999999999998,423.2,11
174,41,101,2023-07-06 00:00:00,20,82,Electronics,500,4.5,180,82.0,6,174,3.7666666666666666,293.77777777777777,7
175,73,103,2023-10-11 00:00:00,15,85,Home & Kitchen,200,4.2,165,85.0,8,77,3.872727272727273,436.3636363636364,10
176,20,102,2023-01-07 00:00:00,21,99,Clothing,50,3.8,210,99.0,8,354,3.97,505.6,1
177,96,105,2023-07-01 00:00:00,22,103,Electronics,800,4.8,110,103.0,4,179,4.1,556.8,7
178,73,107,2023-01-27 00:00:00,15,85,Books,783,3.8,165,85.0,8,334,3.872727272727273,436.3636363636364,1
179,27,101,2023-05-04 00:00:00,22,92,Electronics,500,4.5,264,92.0,9,237,3.9250000000000003,480.4166666666667,5
180,67,107,2023-07-23 00:00:00,29,144,Books,783,3.8,261,144.0,6,157,3.811111111111111,444.1111111111111,7
181,53,107,2023-10-21 00:00:00,18,86,Books,783,3.8,108,86.0,4,67,3.6833333333333336,580.8333333333334,10
182,68,103,2023-04-04 00:00:00,26,109,Home & Kitchen,200,4.2,416,109.0,9,267,3.975,538.4375,4
183,62,109,2023-01-21 00:00:00,30,139,Music,379,3.1,240,139.0,6,340,3.7624999999999997,548.75,1
184,15,107,2023-08-09 00:00:00,18,90,Books,783,3.8,90,90.0,5,140,4.14,568.0,8
185,97,107,2023-06-01 00:00:00,26,87,Books,783,3.8,208,87.0,4,209,3.725,614.125,6
186,5,106,2023-07-05 00:00:00,22,110,Automotive,855,4.2,242,110.0,6,175,4.109090909090909,559.7272727272727,7
187,68,103,2023-05-18 00:00:00,26,109,Home & Kitchen,200,4.2,416,109.0,9,223,3.975,538.4375,5
188,12,106,2023-05-09 00:00:00,18,125,Automotive,855,4.2,162,125.0,6,232,3.6555555555555554,258.55555555555554,5
189,87,101,2023-04-13 00:00:00,30,128,Electronics,500,4.5,240,128.0,6,258,4.3125,511.25,4
190,78,104,2023-02-20 00:00:00,21,109,Beauty,30,4.0,126,109.0,4,310,4.383333333333334,502.5,2
191,76,110,2023-02-08 00:00:00,20,87,Toys,29,3.5,160,87.0,7,322,4.0625,403.25,2
192,57,110,2023-09-10 00:00:00,16,110,Toys,29,3.5,128,110.0,7,108,3.7625,506.25,9
193,17,108,2023-02-07 00:00:00,17,86,Sports,727,3.6,119,86.0,4,323,3.685714285714286,449.14285714285717,2
194,25,101,2023-05-14 00:00:00,16,80,Electronics,500,4.5,176,80.0,7,227,3.8818181818181823,315.8181818181818,5
195,30,105,2023-03-01 00:00:00,23,103,Electronics,800,4.8,299,103.0,10,301,3.930769230769231,395.38461538461536,3
196,22,102,2023-10-15 00:00:00,23,130,Clothing,50,3.8,184,130.0,5,73,3.9,237.5,10
197,26,104,2023-12-12 00:00:00,21,146,Beauty,30,4.0,189,146.0,8,15,3.933333333333333,363.3333333333333,12
198,81,106,2023-07-23 00:00:00,16,141,Automotive,855,4.2,240,141.0,9,157,3.966666666666667,396.1333333333333,7
199,61,108,2023-05-26 00:00:00,15,117,Sports,727,3.6,135,117.0,6,215,3.7666666666666666,416.1111111111111,5
200,62,107,2023-02-01 00:00:00,30,139,Books,783,3.8,240,139.0,6,329,3.7624999999999997,548.75,2
201,84,103,2023-06-09 00:00:00,24,136,Home & Kitchen,200,4.2,336,136.0,8,201,4.128571428571428,385.85714285714283,6
202,34,108,2023-03-26 00:00:00,28,81,Sports,727,3.6,364,81.0,8,276,4.023076923076923,546.0,3
203,33,104,2023-04-01 00:00:00,24,118,Beauty,30,4.0,264,118.0,7,270,3.7818181818181817,409.09090909090907,4
204,71,105,2023-02-09 00:00:00,27,85,Electronics,800,4.8,270,85.0,6,321,4.39,644.3,2
205,86,110,2023-09-03 00:00:00,25,136,Toys,29,3.5,175,136.0,6,115,3.685714285714286,421.57142857142856,9
206,32,108,2023-06-28 00:00:00,20,85,Sports,727,3.6,140,85.0,5,182,3.914285714285714,508.57142857142856,6
207,14,101,2023-03-16 00:00:00,24,80,Electronics,500,4.5,240,80.0,6,286,3.9899999999999998,423.2,3
208,72,101,2023-10-22 00:00:00,17,116,Electronics,500,4.5,204,116.0,7,66,3.783333333333333,243.58333333333334,10
209,57,102,2023-03-10 00:00:00,16,110,Clothing,50,3.8,128,110.0,7,292,3.7625,506.25,3
210,25,109,2023-02-09 00:00:00,16,80,Music,379,3.1,176,80.0,7,321,3.8818181818181823,315.8181818181818,2
211,80,104,2023-05-08 00:00:00,19,83,Beauty,30,4.0,285,83.0,7,233,4.133333333333334,347.4,5
212,42,106,2023-07-27 00:00:00,29,109,Automotive,855,4.2,290,109.0,7,153,4.21,531.6,7
213,19,101,2023-01-14 00:00:00,22,150,Electronics,500,4.5,242,150.0,7,347,3.9454545454545453,356.45454545454544,1
214,41,102,2023-06-13 00:00:00,20,82,Clothing,50,3.8,180,82.0,6,197,3.7666666666666666,293.77777777777777,6
215,55,102,2023-12-26 00:00:00,22,120,Clothing,50,3.8,220,120.0,7,1,3.8299999999999996,448.1,12
216,80,104,2023-11-28 00:00:00,19,83,Beauty,30,4.0,285,83.0,7,29,4.133333333333334,347.4,11
217,12,108,2023-11-07 00:00:00,18,125,Sports,727,3.6,162,125.0,6,50,3.6555555555555554,258.55555555555554,11
218,39,110,2023-03-24 00:00:00,15,130,Toys,29,3.5,120,130.0,6,278,3.95,543.375,3
219,94,104,2023-07-23 00:00:00,18,96,Beauty,30,4.0,180,96.0,4,157,4.15,217.9,7
220,2,108,2023-06-29 00:00:00,20,90,Sports,727,3.6,160,90.0,5,181,3.9375,404.625,6
221,96,101,2023-06-12 00:00:00,22,103,Electronics,500,4.5,110,103.0,4,198,4.1,556.8,6
222,45,103,2023-03-22 00:00:00,15,133,Home & Kitchen,200,4.2,105,133.0,5,280,4.228571428571429,415.57142857142856,3
223,89,105,2023-01-29 00:00:00,16,137,Electronics,800,4.8,176,137.0,7,332,4.245454545454546,635.8181818181819,1
224,25,105,2023-12-24 00:00:00,16,80,Electronics,800,4.8,176,80.0,7,3,3.8818181818181823,315.8181818181818,12
225,68,107,2023-01-09 00:00:00,26,109,Books,783,3.8,416,109.0,9,352,3.975,538.4375,1
226,83,101,2023-05-26 00:00:00,19,96,Electronics,500,4.5,171,96.0,6,215,3.9555555555555557,471.55555555555554,5
227,4,102,2023-08-29 00:00:00,15,80,Clothing,50,3.8,240,80.0,6,120,4.04375,282.125,8
228,77,108,2023-08-25 00:00:00,20,132,Sports,727,3.6,200,132.0,5,124,4.08,464.2,8
229,36,107,2023-08-09 00:00:00,24,86,Books,783,3.8,336,86.0,7,140,3.935714285714286,435.7857142857143,8
230,87,106,2023-06-03 00:00:00,30,128,Automotive,855,4.2,240,128.0,6,207,4.3125,511.25,6
231,62,106,2023-12-17 00:00:00,30,139,Automotive,855,4.2,240,139.0,6,10,3.7624999999999997,548.75,12
232,70,108,2023-05-04 00:00:00,22,99,Sports,727,3.6,330,99.0,8,237,3.9466666666666668,341.06666666666666,5
233,88,104,2023-04-12 00:00:00,23,97,Beauty,30,4.0,322,97.0,8,259,3.8214285714285716,472.64285714285717,4
234,44,107,2023-07-07 00:00:00,30,85,Books,783,3.8,390,85.0,8,173,3.8153846153846156,412.15384615384613,7
